Название задачи,Статус,Дата начала,Дата окончания,Прогресс
Проектирование архитектуры,Завершено,1704067200000,1704758400000,100
Разработка backend API,В работе,1704844800000,1706054400000,65
Создание интерфейса пользователя,В работе,1705104000000,1706659200000,40
Тестирование функциональности,Планируется,1706054400000,1707264000000,0
Интеграция с внешними системами,Планируется,1706659200000,1708473600000,
Документирование проекта,В работе,1705536000000,1707868800000,25
Оптимизация производительности,Планируется,1707264000000,1709078400000,0
Подготовка к релизу,Не начат,1708473600000,1709769600000,
Пилотное внедрение,Не начат,1709078400000,1710460800000,
Анализ результатов,Не начат,1709769600000,1711065600000,
